route_name,model,Fit_Status,train_R2,val_R2,train_MAE,val_MAE,train_RMSE,val_RMSE,val_MAPE,val_sMAPE
SER_4a44_start_aggregated.csv,XGBoost,Good Fit,0.9594436287879944,0.901764988899231,9.48526668548584,15.512727737426758,12.441327143586811,21.05610935597879,22.560723467752773,18.370422026191584
SER_ea68_start_aggregated.csv,XGBoost,Good Fit,0.9183841347694396,0.8077766299247742,4.238677024841309,6.772192001342773,5.802017768567033,9.3439953621892,76.8453621091339,44.102438889050696
SER_533e_start_aggregated.csv,XGBoost,Good Fit,0.8691263794898987,0.756645679473877,8.522878646850586,11.841699600219728,11.472643614863658,16.022796603162885,35.07262232699599,26.01695004215028
SER_8241_start_aggregated.csv,XGBoost,Good Fit,0.9563487768173218,0.8650903701782227,8.135610580444336,14.518260955810549,10.855435717608971,19.64039192880803,24.514851578238503,19.373273064530057
SER_4d01_start_aggregated.csv,XGBoost,Good Fit,0.9005157351493835,0.8235169649124146,6.439036846160889,8.571614265441895,8.383759430003689,11.185588993121767,24.67187540128544,19.597464217524493
SER_8117_start_aggregated.csv,XGBoost,Good Fit,0.9318934082984924,0.9082473516464232,14.491033554077148,17.280418395996094,19.042893028695605,23.273636810996177,21.36588117674755,17.43651895658914
SER_1dfa_start_aggregated.csv,XGBoost,Good Fit,0.9470394253730774,0.8958194851875305,16.12371826171875,23.28335762023925,21.42673375560525,30.983967234457523,19.85250220729197,14.987986013089346
SER_7244_start_aggregated.csv,XGBoost,Good Fit,0.9671551585197448,0.8799091577529907,9.60266399383545,18.22762680053711,12.748413585626851,24.97549335958526,19.96906808608284,15.825534916377274
SER_81f2_start_aggregated.csv,XGBoost,Overfitting,0.9780641198158264,0.4341518878936767,1.0376611948013306,5.895868301391602,1.3702728335338634,7.713312001815661,129.32626164900944,44.95704276210344
SER_9d69_start_aggregated.csv,XGBoost,Good Fit,0.9266882538795472,0.8227384686470032,8.715596199035645,14.397459030151367,11.670203481173418,19.248883896215904,29.752236133853746,21.78440019794304
SER_0705_start_aggregated.csv,XGBoost,Overfitting,0.7442300319671631,0.5803129076957703,6.769979000091553,8.813775062561035,9.160596004902686,12.29999166348803,97.81005473520148,48.57032945007064
SER_d6e5_start_aggregated.csv,XGBoost,Good Fit,0.9771876931190492,0.9585266709327698,9.134076118469238,11.609278678894045,13.084912506499016,17.669156648795877,23.19957203234236,17.889765679306784
SER_870d_start_aggregated.csv,XGBoost,Overfitting,0.8915317058563232,0.3369329571723938,2.678104877471924,6.936258792877197,4.672827582063598,10.536874961190057,125.68250908201404,58.2563499909667
SER_376e_start_aggregated.csv,XGBoost,Overfitting,0.9986042976379396,0.5579589605331421,0.621105968952179,14.490318298339844,1.0402829452904665,20.90712290311456,114.64092629645694,49.991466081232886
SER_52f1_start_aggregated.csv,XGBoost,Good Fit,0.978311002254486,0.8405947685241699,9.59433937072754,21.47111892700196,12.856190988333816,29.11839697649012,23.473925251598168,17.163116927295437
SER_bf31_return_aggregated.csv,XGBoost,Overfitting,0.972965121269226,0.5342634916305542,1.587865948677063,6.8554558753967285,2.4152583151144,8.174478440752065,33.0592845706073,31.612918474272067
SER_a68b_start_aggregated.csv,XGBoost,Good Fit,0.9027532935142516,0.8773379921913147,16.06841278076172,18.575647354125977,21.071930265573386,24.317930737854603,18.80474401651468,14.258998372677777
SER_4ac1_start_aggregated.csv,XGBoost,Good Fit,0.888887882232666,0.8628195524215698,17.435054779052734,20.78094482421875,23.2962383590074,28.155137932395,25.762845597212625,20.051212313780244
SER_8ae4_start_aggregated.csv,XGBoost,Good Fit,0.9489818811416626,0.9184694290161132,17.280969619750977,22.190004348754883,22.68225474188537,29.19198724206053,15.165885678346124,11.935328690319732
SER_d6a4_start_aggregated.csv,XGBoost,Good Fit,0.8793150782585144,0.7650734186172485,11.540461540222168,15.87487506866455,15.235536313909693,20.587697090358965,24.44252221672639,19.62451873436916
SER_9c95_start_aggregated.csv,XGBoost,Overfitting,0.8262736201286316,0.3990806341171264,10.18532943725586,20.130857467651367,13.842200198944395,27.59673482405516,109.36174093310773,46.88276472592239
SER_2ac8_start_aggregated.csv,XGBoost,Good Fit,0.8900576829910278,0.7796065211296082,7.343677043914795,11.170401573181152,9.552390745007896,14.461052513386496,25.49822699727905,20.98743242894093
SER_cf98_start_aggregated.csv,XGBoost,Good Fit,0.86516273021698,0.7496635317802429,10.251901626586914,14.646161079406738,13.562354302392812,19.47418068569012,30.93081239506428,23.26296403623484
SER_8d27_return_aggregated.csv,XGBoost,Good Fit,0.9194498062133788,0.8264690637588501,9.635313034057615,13.620285034179688,12.701949587186594,17.778950037983822,19.670248089277766,16.860940821345967
SER_e786_start_aggregated.csv,XGBoost,Good Fit,0.9677205681800842,0.8874880075454712,4.289086818695068,7.19837760925293,5.906470562081252,10.612765460069737,44.72884171675061,30.42465985335066
SER_c0f6_return_aggregated.csv,XGBoost,Good Fit,0.9966707229614258,0.8777957558631897,0.7677716612815857,4.708827972412109,1.0697836578772622,6.503704775877175,69.11249659263945,27.54809163683744
SER_ab62_start_aggregated.csv,XGBoost,Overfitting,0.8602384328842163,0.3852276802062988,9.81697940826416,21.696998596191406,13.252798108884168,28.56640705122725,182.90434175479987,56.09889173334618
SER_7cb6_start_aggregated.csv,XGBoost,Good Fit,0.9473079442977904,0.9099913835525512,18.688627243041992,25.113182067871097,24.961419205054604,33.249322640539425,15.813566292959438,12.217835711175166
