route_name,model,Fit_Status,train_R2,val_R2,train_MAE,val_MAE,train_RMSE,val_RMSE,val_MAPE,val_sMAPE
SER_1dfa_start_aggregated.csv,LightGBM,Good Fit,0.9188306311728636,0.8932959998137544,20.00249608970745,23.725739214184923,26.52624130044227,31.3569707458753,21.496634820198075,16.312601079636284
SER_533e_start_aggregated.csv,LightGBM,Good Fit,0.804902197535689,0.759136866169331,10.50095691110923,11.944929369540686,14.007596483779784,15.940574997170948,35.99425521672455,26.45933254056427
SER_9d69_start_aggregated.csv,LightGBM,Good Fit,0.8663501296803933,0.8214365685179837,11.830461157318242,14.4875259810163,15.757087438505168,19.31944190977621,30.23964716911908,22.335823193511096
SER_4d01_start_aggregated.csv,LightGBM,Good Fit,0.8759963756466148,0.8226432281188395,7.240543251257432,8.570714074558218,9.36006409441147,11.213244905957868,24.76945262937755,19.591599144162256
SER_8241_start_aggregated.csv,LightGBM,Good Fit,0.9029029367608824,0.8656096825833994,11.989042204052112,14.54148418736959,16.19019378923132,19.602552687354965,25.69710050636903,20.108079621653633
SER_0705_start_aggregated.csv,LightGBM,Good Fit,0.641798900226123,0.5763442138949361,8.025566574518221,8.829474432770118,10.840826547801525,12.358011223936188,97.60120680896152,48.63018474106179
SER_8117_start_aggregated.csv,LightGBM,Good Fit,0.9295568410922038,0.905181032982418,14.703175647122588,17.517900414124437,19.366798811046753,23.659331249952437,21.07220479100504,17.65536896999871
SER_4a44_start_aggregated.csv,LightGBM,Good Fit,0.9342527903804668,0.9013811897738396,12.00401510598581,15.614216579988804,15.840752405223762,21.097203618440876,24.25278666103882,18.809655307178407
SER_d6e5_start_aggregated.csv,LightGBM,Good Fit,0.968546411634546,0.956204653320063,10.553789713675307,11.964768608886132,15.364610834073176,18.157046934877307,25.37191912680934,18.5842674662437
SER_ea68_start_aggregated.csv,LightGBM,Good Fit,0.909857411200404,0.8098493717782341,4.407200970643199,6.7198281759462155,6.0975699754670325,9.29348132029407,70.45135448173419,41.69658969478243
SER_81f2_start_aggregated.csv,LightGBM,Overfitting,0.9947778444391912,0.377583381390836,0.5253944918226136,5.9187334861686764,0.6685814167968659,8.089683490987255,137.2040540102246,44.054197421618
SER_7244_start_aggregated.csv,LightGBM,Good Fit,0.9186621773238696,0.8742590195466096,15.31881251316209,18.646368086744303,20.061746090637335,25.556276316304977,22.65375969964563,16.41098648304919
SER_bf31_return_aggregated.csv,LightGBM,Overfitting,0.8492145756754034,0.4569698442342237,4.170175120876466,7.396013784366941,5.704020472411805,8.82677166709131,33.254722988189755,33.12758577616767
SER_058d_start_aggregated.csv,LightGBM,Good Fit,0.9320865641325896,0.9006672074163249,17.037377986440116,20.740180488684057,22.35590682789567,27.467397180233338,16.010182434003106,13.39136369198058
SER_4ac1_start_aggregated.csv,LightGBM,Good Fit,0.8816150046123902,0.8660819364756176,17.997599493243484,20.711056704762193,24.0465885373391,27.818335427903136,25.47117000307687,19.987942387354227
SER_482d_start_aggregated.csv,LightGBM,Good Fit,0.9243490120712876,0.905192182482569,17.32186897100408,19.67658867879475,22.788120439589314,26.056204704085214,20.909420783284983,15.833492258380655
SER_d6a4_start_aggregated.csv,LightGBM,Good Fit,0.8647696734188588,0.7618704115301012,12.386149703682811,16.067068388983046,16.127545985950345,20.72756979168344,23.42132031762175,19.614312421502188
SER_83ea_start_aggregated.csv,LightGBM,Good Fit,0.9672537532330752,0.9123337457291352,4.798540932880584,7.272752579991288,6.82846206634302,9.977997349594238,14.964404174958416,14.5526490784657
SER_376e_start_aggregated.csv,LightGBM,Overfitting,0.8637870828609077,0.5575526963740915,7.703077704514063,14.519590924211093,10.276982073220749,20.916728157384043,95.37654764948506,50.08065655309936
SER_dae4_start_aggregated.csv,LightGBM,Good Fit,0.8802107147294911,0.8488446669654179,9.920305294935911,11.645746893414698,13.159042235327249,15.531790787622674,23.18520486140281,18.08460975890188
SER_8d27_return_aggregated.csv,LightGBM,Good Fit,0.858210637705773,0.826766427917506,12.907370564318564,13.650611751662472,16.852288284635414,17.763710472266197,19.451658349119157,16.864674821228164
SER_09a1_start_aggregated.csv,LightGBM,Good Fit,0.7853150931616616,0.7010608765009634,7.3547977623284915,8.890016353897385,9.774300983291408,12.154302367919843,29.794220807867088,24.73130360712737
SER_52f1_start_aggregated.csv,LightGBM,Good Fit,0.928022084019165,0.8464620730947912,17.460802256721955,21.23225275283236,23.420301246137132,28.57748300794609,22.515185120517557,17.116855814626916
SER_8ae4_start_aggregated.csv,LightGBM,Good Fit,0.9349556212569328,0.9150353076403718,19.5406006563065,22.657982290379753,25.611140498474487,29.800441901286018,15.093845296775015,12.20375099308087
SER_ab62_start_aggregated.csv,LightGBM,Overfitting,0.5791807959098394,0.3861877350343377,17.581845994878684,21.891733385459737,22.996484701303576,28.5440928083599,183.49246379429155,56.819711442543166
SER_c0f6_return_aggregated.csv,LightGBM,Overfitting,0.9890209581508204,0.812819807102702,1.511651952746432,5.9438966022525195,1.9426812946851288,8.049106073837454,117.61250283943647,34.190947425218766
SER_e786_start_aggregated.csv,LightGBM,Good Fit,0.925234387780854,0.8827086110671554,6.2256806859316995,7.391807625173252,8.98909513800013,10.83583255091746,46.842531333689784,31.271113275100415
SER_0a92_start_aggregated.csv,LightGBM,Overfitting,0.6306606991510605,0.4465865050117674,8.68404637671257,10.229858357697513,11.227721333049145,13.43492726889034,77.84850280143783,42.550376229137434
