iter	MAE
161	0.5395335884
162	0.5395267892
163	0.5395168461
164	0.5395114075
165	0.5395035074
166	0.5394944978
167	0.5394667855
168	0.5394526098
169	0.539449199
170	0.5394359987
171	0.5394286697
172	0.5393944721
173	0.5393886877
174	0.5393822773
175	0.5393785958
176	0.5393548288
177	0.5393407862
178	0.5393306271
179	0.539305297
180	0.5393044502
181	0.5393028575
182	0.5392879091
183	0.5392834488
184	0.5392712543
185	0.5392588783
186	0.5392448606
187	0.5392166636
188	0.5391972111
189	0.5391904912
190	0.5391730086
191	0.5391654159
192	0.5391321527
193	0.5391243703
194	0.5390945808
195	0.5390694104
196	0.5390661623
197	0.5390457653
198	0.5390185349
199	0.5390112497
200	0.5390098787
201	0.5390006834
202	0.5389822548
203	0.5389748257
204	0.5389671208
205	0.5389620286
206	0.538935218
207	0.5389338817
208	0.5388934247
209	0.5388779088
210	0.5388765529
211	0.5388653769
212	0.5388423223
213	0.538831698
214	0.5388298639
215	0.5388001072
216	0.53876929
217	0.5387542483
218	0.5387441716
219	0.5387421191
220	0.5387374118
221	0.5387335823
222	0.5387311284
223	0.5387311208
224	0.5387002311
225	0.5386647403
226	0.5386429276
227	0.5386323439
228	0.5386116333
229	0.5386023894
230	0.5385696553
231	0.538559613
232	0.5385462385
233	0.5385289701
234	0.5385215398
235	0.5385152056
236	0.538510331
237	0.53850397
238	0.5385033374
239	0.5384906539
240	0.5384692893
241	0.5384564387
242	0.5384466544
243	0.5384373367
244	0.5384227946
245	0.5384081204
246	0.5384013549
247	0.5383834674
248	0.5383707671
249	0.5383379906
250	0.5383368366
251	0.5383281955
252	0.538312826
253	0.538309528
254	0.538289577
255	0.5382436572
256	0.538225611
257	0.538202064
258	0.5381863444
259	0.5381778526
260	0.5381755865
261	0.5381638535
262	0.5381366425
263	0.5381337802
264	0.5381243965
265	0.5381187137
266	0.5381089582
267	0.5380923827
268	0.538091125
269	0.5380704833
270	0.5380686474
271	0.5380389015
272	0.5380243649
273	0.5380223878
274	0.5380022877
275	0.5379833995
276	0.5379818074
277	0.5378780745
278	0.5376572537
279	0.5375237353
280	0.5374219368
281	0.5372990367
282	0.5372431509
283	0.537232575
284	0.5371789236
285	0.537152973
286	0.537093926
287	0.5370448189
288	0.536986981
289	0.5369108516
290	0.5369047957
291	0.5368353591
292	0.5368291193
293	0.5367752447
294	0.5367464573
295	0.5367039988
296	0.5366142718
297	0.5365824569
298	0.5365399142
299	0.5365344362
300	0.5365235787
301	0.536482598
302	0.5364464794
303	0.536400379
304	0.5363920447
305	0.5363499974
306	0.5362990786
307	0.536256052
308	0.536243407
309	0.5362365683
310	0.5361977036
311	0.5361677376
312	0.5361584322
313	0.5361502606
314	0.5361270168
315	0.5360971667
316	0.5360784532
317	0.5360612293
318	0.5360576659
319	0.5360329964
320	0.5360292778
321	0.5359938293
322	0.5359623979
323	0.5359313552
324	0.5358994802
325	0.5358663026
326	0.5358306506
327	0.5358285744
328	0.5358160274
329	0.5357878124
330	0.5357741932
331	0.5357505419
332	0.5357338817
333	0.5357134744
334	0.5357069023
335	0.5356821173
336	0.5356669249
337	0.5356414707
338	0.5356052052
339	0.5356029469
340	0.5355821414
341	0.5355803428
342	0.5355783443
343	0.5355655319
344	0.5355637046
345	0.5355137286
346	0.5355065148
347	0.5354846496
348	0.5354643563
349	0.5354429107
350	0.5354404204
351	0.5354205968
352	0.5354183
353	0.5354115862
354	0.5353992041
355	0.5353890571
356	0.5353866178
357	0.535369977
358	0.5353679188
359	0.5353431788
360	0.5353370593
361	0.5353350215
362	0.5353289748
363	0.5353272973
364	0.5353259483
365	0.5353084868
366	0.5352975355
367	0.5352961837
368	0.535294467
369	0.5352670653
370	0.5352600369
371	0.5352354729
372	0.5352263534
373	0.5352248425
374	0.5351655114
375	0.5351621395
376	0.5351585903
377	0.5351508976
378	0.5351440574
379	0.5351427003
380	0.5351377038
381	0.5351345613
382	0.5351300193
383	0.5351268026
384	0.5351243933
385	0.5351158354
386	0.5351132224
387	0.5350930909
388	0.5350884699
389	0.5350810852
390	0.5350697945
391	0.5350585523
392	0.5350571015
393	0.5350560704
394	0.5350527513
395	0.5350461172
396	0.5350448586
397	0.535034713
398	0.5350286047
399	0.5350122025
400	0.5349952991
401	0.5349791053
402	0.5349640383
403	0.5349622894
404	0.5349517116
405	0.534940611
406	0.534927925
407	0.5349149445
408	0.5348942853
409	0.5348871095
410	0.534885877
411	0.5348836766
412	0.5348732597
413	0.534872338
414	0.5348659969
415	0.5348542667
416	0.5348349656
417	0.5348176471
418	0.5348130422
419	0.5348021313
420	0.5347883775
421	0.534781927
422	0.5347762822
423	0.5347670245
424	0.5347587372
425	0.5347568238
426	0.5347430146
427	0.5347376041
428	0.5347293934
429	0.5347273543
430	0.5347210528
431	0.5347026643
432	0.5347004053
433	0.5346974146
434	0.5346780204
435	0.5346624456
436	0.534653026
437	0.53464941
438	0.5346447582
439	0.5346435277
440	0.5346380809
441	0.534636127
442	0.5346227365
443	0.5345893432
444	0.5345699041
445	0.5345680917
446	0.5345641957
447	0.5345560962
448	0.5345547407
449	0.5345457335
450	0.5345171263
451	0.5345137857
452	0.534492353
453	0.5344867406
454	0.5344658964
455	0.5344466844
456	0.5344390928
457	0.534435851
458	0.5344347147
459	0.5344332809
460	0.5344129312
461	0.5343986302
462	0.5343733455
463	0.5343713054
464	0.5343308656
465	0.5343231199
466	0.5343212013
467	0.5343102256
468	0.5343064984
469	0.534301108
470	0.5342961901
471	0.5342907537
472	0.5342828867
473	0.5342796602
474	0.5342781428
475	0.5342736969
476	0.5342721934
477	0.5342681066
478	0.5342625703
479	0.5342589446
480	0.5342543516
481	0.5342525606
482	0.5342444747
483	0.5342192646
484	0.5342066745
485	0.5341902501
486	0.5341658889
487	0.5341650268
488	0.5341601261
489	0.5341513091
490	0.534150645
491	0.5341412168
492	0.5341405199
493	0.5341393396
494	0.5341385122
495	0.5341375415
496	0.5341365372
497	0.5341353775
498	0.5341256151
499	0.534117941
500	0.534111462
501	0.5341055046
502	0.534101922
503	0.5340994344
504	0.53409355
505	0.5340917345
506	0.534086338
507	0.5340853584
508	0.5340377007
509	0.5340332101
510	0.5340224677
511	0.5340127625
512	0.5340118372
513	0.5340029218
514	0.5339965295
515	0.5339957727
516	0.5339930185
517	0.5339496387
518	0.5339434957
519	0.5339426471
520	0.5339379526
521	0.5339371776
522	0.5339358679
523	0.533927775
524	0.5339202791
525	0.5339184843
526	0.5339113688
527	0.5339097362
528	0.5339077221
529	0.5339050206
530	0.5339026002
531	0.533898336
532	0.5338920454
533	0.5338864702
534	0.5338802935
535	0.5338734983
536	0.5338700489
537	0.5338679038
538	0.5338637552
539	0.5338634384
540	0.5338598697
541	0.5338596144
542	0.5338577135
543	0.5338544336
544	0.533853663
545	0.5338471662
546	0.5338447192
547	0.5338436727
548	0.5338401959
549	0.533839268
550	0.5338380121
551	0.5338360748
552	0.5338343228
553	0.533829751
554	0.5338017822
555	0.5337876839
556	0.5337863598
557	0.5337732303
558	0.5337711907
559	0.5337591566
560	0.5337480907
561	0.5337467426
562	0.5337410503
563	0.5337393321
564	0.5337377567
565	0.5337359086
566	0.5337335793
567	0.5337293344
568	0.5337285406
569	0.5337262766
570	0.5337229786
571	0.5337170749
572	0.5337137311
573	0.533712892
574	0.5337120223
575	0.5337112793
576	0.5337022837
577	0.5337014743
578	0.5337001396
579	0.5336944884
580	0.5336909399
581	0.5336888289
582	0.5336832428
583	0.5336825368
584	0.5336755725
585	0.5336705276
586	0.5336691329
587	0.5336316388
588	0.5336003795
589	0.5335842529
590	0.5335771577
591	0.5335739637
592	0.533570481
593	0.5335654381
594	0.5335598809
595	0.5335549068
596	0.5335504015
597	0.5335456108
598	0.5335438107
599	0.5335416404
600	0.5335404777
601	0.5335392813
602	0.533536036
603	0.5335221982
604	0.5335211152
605	0.5335129148
606	0.5335080993
607	0.5335075137
608	0.5335068543
609	0.5334917726
610	0.5334861328
611	0.5334823318
612	0.5334752455
613	0.533470153
614	0.5334696554
615	0.5334691975
616	0.5334664743
617	0.5334656582
618	0.5334650815
619	0.5334627101
620	0.5334544867
621	0.5334441937
622	0.5334432345
623	0.5334420683
624	0.5334417801
625	0.5334414322
626	0.5334317334
627	0.5334314144
628	0.5334304529
629	0.5334301899
630	0.5334297575
631	0.5334210541
632	0.5334196401
633	0.5333998141
634	0.533398854
635	0.5333979791
636	0.5333962711
637	0.5333953654
638	0.5333946901
639	0.5333938388
640	0.5333932148
641	0.5333926265
642	0.5333908223
643	0.533387006
644	0.5333835309
645	0.5333823387
646	0.5333806336
647	0.5333797857
648	0.5333783709
649	0.53337516
650	0.5333738678
651	0.5333721569
652	0.5333713765
653	0.533368613
654	0.5333673869
655	0.5333659369
656	0.5333646128
657	0.5333619857
658	0.5333607942
659	0.5333593574
660	0.5333588269
661	0.5333503608
662	0.5333464339
663	0.5333433548
664	0.5333400788
665	0.5333373189
666	0.5333359178
667	0.5333342635
668	0.5333327503
669	0.5333294686
670	0.5333262021
671	0.5333231937
672	0.5333204375
673	0.5333179249
674	0.5333175244
675	0.5333167184
676	0.5333160834
677	0.5333153391
678	0.5333068601
679	0.5332963043
680	0.5332956384
681	0.5332950237
682	0.5332904162
683	0.5332899605
684	0.5332881801
685	0.5332865059
686	0.5332830374
687	0.5332808362
688	0.5332800025
689	0.5332776273
690	0.533277038
691	0.533276132
692	0.5332666831
693	0.5332659021
694	0.5332502735
695	0.5332495029
696	0.5332487294
697	0.5332463061
698	0.533245593
699	0.5332450324
700	0.5332226974
701	0.5332183985
702	0.5332175988
703	0.5332165842
704	0.5332123084
705	0.5332099271
706	0.5332063337
707	0.5332024291
708	0.5331956487
709	0.5331946596
710	0.5331911232
711	0.5331591253
712	0.5331312208
713	0.5331196258
714	0.533116387
715	0.5331012636
716	0.5330961037
717	0.5330916062
718	0.5330886743
719	0.5330866993
720	0.5330860835
721	0.5330805472
722	0.5330770461
723	0.5330753279
724	0.5330675031
725	0.5330663423
726	0.5330597231
727	0.5330552979
728	0.5330489338
729	0.5330434957
730	0.5330427672
731	0.5330302199
732	0.5330288125
733	0.5330277444
734	0.5330264709
735	0.5330206954
736	0.5330193469
737	0.5330182767
738	0.5330174991
739	0.5330165415
740	0.533015634
741	0.5330148073
742	0.5330140968
743	0.5330040221
744	0.5330031463
745	0.5330029305
746	0.5330025997
747	0.5329999712
748	0.5329970123
749	0.532985143
750	0.5329744795
751	0.5329731529
752	0.5329666552
753	0.5329647806
754	0.5329495902
755	0.5329479322
756	0.532946666
757	0.5329330719
758	0.5329206709
759	0.5329203926
760	0.5329199671
761	0.5329181162
762	0.5329170775
763	0.5329081955
764	0.5328956461
765	0.5328841813
766	0.5328835631
767	0.5328829859
768	0.5328824005
769	0.532881404
770	0.5328797154
771	0.532878232
772	0.5328774086
773	0.532875986
774	0.5328641139
775	0.5328609547
776	0.532858711
777	0.5328484403
778	0.5328471417
779	0.5328465193
780	0.532839305
781	0.5328390055
782	0.5328323381
783	0.5328237813
784	0.5328164156
785	0.532814946
786	0.5328142229
787	0.5328082407
788	0.5328036122
789	0.5327942614
790	0.5327931942
791	0.5327807618
792	0.5327740781
793	0.532772876
794	0.5327718429
795	0.5327704374
796	0.532769171
797	0.5327597535
798	0.5327553259
799	0.5327523131
800	0.5327494461
801	0.532748231
802	0.5327481072
803	0.5327479821
804	0.5327446908
805	0.5327233847
806	0.5327208338
807	0.5327207229
808	0.5327182955
809	0.5327160817
810	0.5327137685
811	0.5327112504
812	0.5327100303
813	0.5327014806
814	0.532699548
815	0.5326854482
816	0.5326835535
817	0.5326789491
818	0.5326768647
819	0.5326675495
820	0.5326663416
821	0.5326509731
822	0.5326503257
823	0.5326468191
824	0.5326462074
825	0.5326460766
826	0.5326369243
827	0.53263681
828	0.5326336958
829	0.5326288062
830	0.5326284519
831	0.5326233057
832	0.5326230452
833	0.5326223794
834	0.5326185427
835	0.5326171821
836	0.5326153016
837	0.5326147128
838	0.5326140874
839	0.532613639
840	0.5326130549
841	0.5326129446
842	0.5325801004
843	0.5325746214
844	0.5325706324
845	0.5325683056
846	0.5325622253
847	0.5325610976
848	0.5325522353
849	0.5325369176
850	0.5325359277
851	0.5325252937
852	0.5325116768
853	0.5325110058
854	0.5325060197
855	0.5325038613
856	0.532502176
857	0.5325004864
858	0.5324689326
859	0.5324418468
860	0.5324363935
861	0.5324297751
862	0.5324221563
863	0.5324208323
864	0.5324183028
865	0.5324093635
866	0.5323734944
867	0.5323729922
868	0.5323711899
869	0.532369571
870	0.5323691106
871	0.5323669142
872	0.5323361087
873	0.5323357583
874	0.5323161973
875	0.5323137917
876	0.5323111803
877	0.5323107395
878	0.5323031745
879	0.5322817487
880	0.5322800976
881	0.5322785995
882	0.532277545
883	0.5322701447
884	0.5322625402
885	0.5322615851
886	0.5322475283
887	0.5322455535
888	0.5322322806
889	0.532222076
890	0.5322217216
891	0.5322208115
892	0.532216524
893	0.5321944233
894	0.5321819399
895	0.5321785101
896	0.5321767422
897	0.5321757899
898	0.5321666933
899	0.5321517888
900	0.5321435248
901	0.5321353088
902	0.5321276238
903	0.5321253513
904	0.5321168983
905	0.5321161375
906	0.5321125131
907	0.5321113412
908	0.5321071185
909	0.5321063633
910	0.5321056876
911	0.5321046895
912	0.5321040487
913	0.5321033041
914	0.5321022196
915	0.5321013198
916	0.5320909443
917	0.5320901355
918	0.5320616747
919	0.5320604234
920	0.5320537781
921	0.5320528148
922	0.532044596
923	0.5320382227
924	0.5320135115
925	0.5320127209
926	0.5320088749
927	0.5320080238
928	0.5320012855
929	0.5319998898
930	0.5319997705
931	0.5319939099
932	0.5319874605
933	0.5319821439
934	0.5319806179
935	0.5319805183
936	0.5319801371
937	0.5319800069
938	0.5319789978
939	0.5319743651
940	0.5319594424
941	0.5319570003
942	0.531956653
943	0.5319563853
944	0.5319555985
945	0.5319526395
946	0.531949808
947	0.5319479014
948	0.5319471788
949	0.5319465887
950	0.531945006
951	0.5319283156
952	0.5319268976
953	0.5319090182
954	0.5319044972
955	0.5318980284
956	0.5318938421
957	0.531887962
958	0.531887301
959	0.5318835525
960	0.5318731035
961	0.5318663429
962	0.5318660934
963	0.5318600411
964	0.531854475
965	0.5318496726
966	0.5318146698
967	0.5318143762
968	0.5318141072
969	0.5317860362
970	0.5317551102
971	0.5317529453
972	0.531743728
973	0.5317437153
974	0.531735425
975	0.5317238631
976	0.5317211369
977	0.5317114031
978	0.5317090806
979	0.5317031149
980	0.5317004002
981	0.5316923417
982	0.5316802859
983	0.5316798598
984	0.5316678487
985	0.5316608666
986	0.5316564468
987	0.5316524816
988	0.5316523353
989	0.531651578
990	0.5316513145
991	0.5316506622
992	0.5316503286
993	0.5316440087
994	0.5316437745
995	0.5316426251
996	0.531633623
997	0.5316295177
998	0.5316284995
999	0.531614966
1000	0.53161399
1001	0.5316110943
1002	0.5316089956
1003	0.5316080393
1004	0.5316076564
1005	0.5316063655
1006	0.5316023871
1007	0.5315989299
1008	0.5315980821
1009	0.5315967063
1010	0.5315939413
1011	0.5315915435
1012	0.5315893973
1013	0.5315840607
1014	0.531582753
1015	0.5315766324
1016	0.5315751677
1017	0.5315747604
1018	0.5315674608
1019	0.5315612477
1020	0.5315579666
1021	0.5315527416
1022	0.5315422886
1023	0.5315407088
1024	0.5315401249
1025	0.5315373269
1026	0.5315242234
1027	0.5314851617
1028	0.5314614296
1029	0.5314468564
1030	0.531434825
1031	0.5314239849
1032	0.5314015028
1033	0.5313741055
1034	0.5313499146
1035	0.5313370598
1036	0.5313244605
1037	0.5313143694
1038	0.5312986752
1039	0.5312869735
1040	0.5312771242
1041	0.5312672329
1042	0.5312640924
1043	0.5312616687
1044	0.5312593944
1045	0.53125213
1046	0.5312499789
1047	0.5312364639
1048	0.5312241222
1049	0.5312182346
1050	0.5312108754
1051	0.5311862107
1052	0.5311726305
1053	0.5311605062
1054	0.5311582483
1055	0.5311291965
1056	0.5311171018
1057	0.5311064615
1058	0.5310993718
1059	0.5310931016
1060	0.5310824723
1061	0.5310796177
1062	0.5310762818
1063	0.5310537797
1064	0.5310526418
1065	0.5310170108
1066	0.5310053691
1067	0.5309761766
1068	0.5309471974
1069	0.5309233395
1070	0.5308861977
1071	0.5308813702
1072	0.5308769769
1073	0.5308659673
1074	0.5308348567
1075	0.5308050052
1076	0.5308046382
1077	0.530781843
1078	0.530764219
1079	0.5307633547
1080	0.5307603335
1081	0.5307599783
1082	0.5307439019
1083	0.5307304664
1084	0.5307159803
1085	0.5307113177
1086	0.5307088636
1087	0.5306995291
1088	0.5306911717
1089	0.5306893516
1090	0.5306882372
1091	0.5306865631
1092	0.5306816505
1093	0.5306554043
1094	0.5306387784
1095	0.5306299643
1096	0.5306263601
1097	0.5306197685
1098	0.5306165358
1099	0.5306143163
1100	0.5306046164
1101	0.5306043347
1102	0.530604073
1103	0.5306012509
1104	0.5305969607
1105	0.5305928575
1106	0.5305925939
1107	0.5305922798
1108	0.530586664
1109	0.5305833567
1110	0.5305825608
1111	0.5305770822
1112	0.5305718155
1113	0.5305711712
1114	0.5305661814
1115	0.5305632274
1116	0.5305454816
1117	0.5305437655
1118	0.5305428768
1119	0.5305385484
1120	0.5305332973
1121	0.5305325266
1122	0.5305277257
1123	0.5305269756
1124	0.5305210038
1125	0.5305154149
1126	0.5305041838
1127	0.5304860561
1128	0.5304696896
1129	0.5304694051
1130	0.5304635943
1131	0.530458887
1132	0.5304577659
1133	0.5304576271
1134	0.53044071
1135	0.530432678
1136	0.530425365
1137	0.5304246457
1138	0.5304088709
1139	0.5303949895
1140	0.5303887023
1141	0.5303843398
1142	0.5303733871
1143	0.5303646468
1144	0.5303553663
1145	0.5303477053
1146	0.5303392824
1147	0.5303299109
1148	0.5303180677
1149	0.5303098827
1150	0.5302990572
1151	0.5302918151
1152	0.5302656617
1153	0.5302580149
1154	0.5302468467
1155	0.5302369487
1156	0.5302311359
1157	0.5302107539
1158	0.5302076296
1159	0.5302070065
1160	0.5302039818
1161	0.5301947728
1162	0.5301911494
1163	0.5301829339
1164	0.5301753743
1165	0.5301716454
1166	0.5301692042
1167	0.5301609671
1168	0.5301348721
1169	0.5301306478
1170	0.5301295031
1171	0.5301215823
1172	0.5301196331
1173	0.530113058
1174	0.5301112742
1175	0.5301102012
1176	0.5301082983
1177	0.5301033479
1178	0.5300972395
1179	0.530091666
1180	0.5300862334
1181	0.530082669
1182	0.5300769847
1183	0.530069341
1184	0.5300609497
1185	0.530045822
1186	0.5300438853
1187	0.5300369032
1188	0.5300290894
1189	0.5300167974
1190	0.5300118217
1191	0.5300031751
1192	0.5299951537
1193	0.5299919546
1194	0.5299914733
1195	0.5299857783
1196	0.5299757501
1197	0.5299670553
1198	0.5299602855
1199	0.5299513374
1200	0.5299459857
1201	0.5299345381
1202	0.5299273884
1203	0.5299244311
1204	0.5299203407
1205	0.5299134364
1206	0.5299096993
1207	0.5299074508
1208	0.5299045769
1209	0.5299027342
1210	0.5298905942
1211	0.5298877348
1212	0.5298804408
1213	0.5298801141
1214	0.5298780882
1215	0.5298666149
1216	0.5298593555
1217	0.5298567212
1218	0.5298523562
1219	0.5298498566
1220	0.5298383764
1221	0.5298356536
1222	0.5298343946
1223	0.5298324237
1224	0.5298260885
1225	0.5298244787
1226	0.5298206477
1227	0.5298177448
1228	0.529794695
1229	0.5297941118
1230	0.5297927925
1231	0.5297881881
1232	0.5297732884
1233	0.5297719105
1234	0.5297702685
1235	0.5297507362
1236	0.5297467298
1237	0.5297459374
1238	0.5297449856
1239	0.5297423577
1240	0.5297399641
1241	0.529727633
1242	0.5297250952
1243	0.5297227723
1244	0.5297203289
1245	0.5297184329
1246	0.5297153209
1247	0.5297124914
1248	0.5297060921
1249	0.529702778
1250	0.5296974095
1251	0.5296927592
1252	0.5296856726
1253	0.5296813886
1254	0.5296767331
1255	0.5296743653
1256	0.5296719995
1257	0.5296671497
1258	0.5296656956
1259	0.5296650686
1260	0.5296578953
1261	0.5296573358
1262	0.5296495201
1263	0.5296467931
1264	0.5296359702
1265	0.5296330572
1266	0.5296141898
1267	0.5296077563
1268	0.5296019886
1269	0.529594663
1270	0.5295917271
1271	0.5295733615
1272	0.52956502
1273	0.5295576696
1274	0.529556054
1275	0.5295517827
1276	0.5295473528
1277	0.5295438013
1278	0.5295408183
1279	0.5295388269
1280	0.5295361681
1281	0.529521068
1282	0.5295106386
1283	0.5295098652
1284	0.5295014601
1285	0.529496089
1286	0.5294772837
1287	0.5294670259
1288	0.5294607137
1289	0.5294599532
1290	0.5294572657
1291	0.5294527495
1292	0.5294491558
1293	0.5294483252
1294	0.5294434125
1295	0.5294237858
1296	0.5294077726
1297	0.5294049609
1298	0.529402776
1299	0.5293985291
1300	0.5293911292
1301	0.5293893297
1302	0.5293863666
1303	0.5293852592
1304	0.5293820086
1305	0.5293792581
1306	0.5293776994
1307	0.5293635464
1308	0.5293608916
1309	0.5293408076
1310	0.5293398894
1311	0.5293373449
1312	0.5293369829
1313	0.5293316198
1314	0.5293311714
1315	0.5293235547
1316	0.5293189296
1317	0.5293167293
1318	0.5293076825
1319	0.5293057039
1320	0.5292945483
1321	0.529289007
1322	0.5292858569
1323	0.5292839069
1324	0.529282122
1325	0.529279666
1326	0.5292767849
1327	0.5292746279
1328	0.529273194
1329	0.5292707265
1330	0.5292685414
1331	0.5292666301
1332	0.5292536604
1333	0.5292503355
1334	0.5292455342
1335	0.5292385941
1336	0.529235307
1337	0.5292289183
1338	0.5292232671
1339	0.5292215252
1340	0.5292173759
1341	0.529215307
1342	0.5292138186
1343	0.5292128473
1344	0.5292115212
1345	0.529203996
1346	0.529196557
1347	0.5291909541
1348	0.5291876752
1349	0.5291838444
1350	0.5291820458
1351	0.5291795475
1352	0.5291751855
1353	0.5291726576
1354	0.5291675833
1355	0.529165543
1356	0.5291616225
1357	0.5291529917
1358	0.5291461462
1359	0.5291439962
1360	0.5291403376
1361	0.5291391445
1362	0.5291377913
1363	0.5291365633
1364	0.5291297011
1365	0.5291226995
1366	0.5291209993
1367	0.5291207953
1368	0.5291125732
1369	0.5291098343
1370	0.5291060969
1371	0.529098678
1372	0.5290881642
1373	0.5290874726
1374	0.5290868785
1375	0.529085921
1376	0.5290846037
1377	0.5290733511
1378	0.5290720702
1379	0.5290672837
1380	0.5290613579
1381	0.5290540924
1382	0.5290525559
1383	0.5290512327
1384	0.5290493232
1385	0.5290456781
1386	0.5290448269
1387	0.5290404893
1388	0.5290397341
1389	0.5290364614
1390	0.5290355313
1391	0.5290326285
1392	0.5290321112
1393	0.5290316447
1394	0.5290307357
1395	0.5290295475
1396	0.5290278909
1397	0.5290268461
1398	0.5290259158
1399	0.5290130417
1400	0.5290110127
1401	0.529009267
1402	0.5290055337
1403	0.5290046008
1404	0.5290006944
1405	0.5289963251
1406	0.5289956528
1407	0.5289935624
1408	0.5289896231
1409	0.5289794467
1410	0.5289776505
1411	0.5289707309
1412	0.5289690992
1413	0.5289638881
1414	0.5289630819
1415	0.5289579897
1416	0.5289537024
1417	0.5289534186
1418	0.5289519812
1419	0.5289505579
1420	0.5289440813
1421	0.528938206
1422	0.5289328637
1423	0.528930543
1424	0.5289206358
1425	0.5289178446
1426	0.528914706
1427	0.5289136154
1428	0.528908581
1429	0.5289058572
1430	0.5289032356
1431	0.5289030739
1432	0.5289024252
1433	0.5288917952
1434	0.5288850539
1435	0.5288755261
1436	0.5288689168
1437	0.5288577453
1438	0.528856706
1439	0.5288552842
1440	0.5288538947
1441	0.5288534229
1442	0.5288521972
1443	0.5288453706
1444	0.528845002
1445	0.5288389918
1446	0.5288386722
1447	0.5288370102
1448	0.5288358035
1449	0.5288341102
1450	0.5288326515
1451	0.5288311793
1452	0.5288307564
1453	0.5288074853
1454	0.5287851129
1455	0.5287824877
1456	0.5287804397
1457	0.5287658634
1458	0.5287655014
1459	0.5287546096
1460	0.5287461397
1461	0.5287427776
1462	0.5287419103
1463	0.5287400411
1464	0.5287379761
1465	0.5287376367
1466	0.5287277179
1467	0.5287225344
1468	0.528716733
1469	0.5287127285
1470	0.528711633
1471	0.5287112003
1472	0.5287102346
1473	0.5287098503
1474	0.5287093152
1475	0.5287080354
1476	0.5287037094
1477	0.528703185
1478	0.5287025788
1479	0.5287015495
1480	0.528694609
1481	0.5286922719
1482	0.5286886156
1483	0.5286832503
1484	0.5286803562
1485	0.5286756431
1486	0.5286733469
1487	0.5286722234
1488	0.5286712277
1489	0.5286705813
1490	0.5286700151
1491	0.5286652456
1492	0.5286643914
1493	0.5286641537
1494	0.5286591097
1495	0.528658635
1496	0.5286575059
1497	0.5286567901
1498	0.5286562005
1499	0.5286521908
1500	0.5286518178
1501	0.5286512706
1502	0.5286478952
1503	0.5286448242
1504	0.5286422691
1505	0.5286416492
1506	0.5286413829
1507	0.5286209209
1508	0.5286086632
1509	0.5286062569
1510	0.5286007933
1511	0.5285926498
1512	0.5285869306
1513	0.5285857893
